2024-09-07 19:15:23.316 | INFO     | utils.config_loader:reload_configs:22 - ✅ All configurations loaded successfully
2024-09-07 19:15:23.318 | INFO     | __main__:main:58 - 🔧 Starting the shop management application...
2024-09-07 19:15:23.319 | INFO     | __main__:main:61 - 🔌 Initializing I2C interface
2024-09-07 19:15:23.324 | INFO     | __main__:main:63 - ✅ I2C interface initialized
2024-09-07 19:15:23.326 | INFO     | managers.board_manager:__init__:11 - 🔧 BoardManager initialized with I2C interface
2024-09-07 19:15:23.330 | INFO     | boards.mcp23017:__init__:15 - 🔧 Initializing MCP23017 at address 0x20 (GPIO Expander - Master Control)
2024-09-07 19:15:23.332 | SUCCESS  | managers.board_manager:initialize_board:42 - ✅ Board 'GPIO Expander - Master Control' initialized successfully.
2024-09-07 19:15:23.333 | INFO     | managers.board_manager:initialize_all_boards:57 - ✅ MCP23017 board master_control_gpio_expander initialized
2024-09-07 19:15:23.349 | INFO     | boards.pca9685:__init__:15 - 🔮 Initialized PCA9685 at address 0x41 in Servo Control mode with frequency 50Hz as board ID master_control_pwm_servo
2024-09-07 19:15:23.351 | SUCCESS  | managers.board_manager:initialize_board:42 - ✅ Board 'PWM Servo - Master Control' initialized successfully.
2024-09-07 19:15:23.353 | INFO     | managers.board_manager:initialize_all_boards:57 - ✅ PCA9685 board master_control_pwm_servo initialized
2024-09-07 19:15:23.365 | INFO     | boards.pca9685:__init__:19 - 🔮 Initialized PCA9685 at address 0x40 in LED Control mode with frequency 1000Hz as board ID master_control_pwm_led
2024-09-07 19:15:23.366 | SUCCESS  | managers.board_manager:initialize_board:42 - ✅ Board 'PWM LED - Master Control' initialized successfully.
2024-09-07 19:15:23.368 | INFO     | managers.board_manager:initialize_all_boards:57 - ✅ PCA9685 board master_control_pwm_led initialized
2024-09-07 19:15:23.376 | INFO     | boards.ads1115:__init__:28 - 🔧 Initializing ADS1115 at address 0x48 and board ID master_control_ad_converter (Voltage Detector - Master Control, Master Control, Voltage Sensing)
2024-09-07 19:15:23.380 | SUCCESS  | managers.board_manager:initialize_board:42 - ✅ Board 'Voltage Detector - Master Control' initialized successfully.
2024-09-07 19:15:23.382 | INFO     | boards.ads1115:read_pins:38 - 🔄 Getting readings from ADS1115 Voltage Detector - Master Control at data rate 860 SPS
2024-09-07 19:15:23.384 | INFO     | managers.board_manager:initialize_all_boards:57 - ✅ ADS1115 board master_control_ad_converter initialized
2024-09-07 19:15:23.402 | INFO     | boards.mcp23017:__init__:15 - 🔧 Initializing MCP23017 at address 0x24 (GPIO Expander - Island)
2024-09-07 19:15:23.403 | SUCCESS  | managers.board_manager:initialize_board:42 - ✅ Board 'GPIO Expander - Island' initialized successfully.
2024-09-07 19:15:23.408 | INFO     | managers.board_manager:initialize_all_boards:57 - ✅ MCP23017 board island_gpio_expander initialized
2024-09-07 19:15:23.440 | INFO     | boards.pca9685:__init__:15 - 🔮 Initialized PCA9685 at address 0x50 in Servo Control mode with frequency 50Hz as board ID island_pwm_servo
2024-09-07 19:15:23.442 | SUCCESS  | managers.board_manager:initialize_board:42 - ✅ Board 'PWM Servo - Island' initialized successfully.
2024-09-07 19:15:23.445 | INFO     | managers.board_manager:initialize_all_boards:57 - ✅ PCA9685 board island_pwm_servo initialized
2024-09-07 19:15:23.485 | INFO     | boards.pca9685:__init__:19 - 🔮 Initialized PCA9685 at address 0x4c in LED Control mode with frequency 1000Hz as board ID island_pwm_led
2024-09-07 19:15:23.489 | SUCCESS  | managers.board_manager:initialize_board:42 - ✅ Board 'PWM LED - Island' initialized successfully.
2024-09-07 19:15:23.497 | INFO     | managers.board_manager:initialize_all_boards:57 - ✅ PCA9685 board island_pwm_led initialized
2024-09-07 19:15:23.511 | INFO     | boards.ads1115:__init__:28 - 🔧 Initializing ADS1115 at address 0x4a and board ID island_ad_converter (Voltage Detector - Island, Center Island, Voltage Sensing)
2024-09-07 19:15:23.519 | SUCCESS  | managers.board_manager:initialize_board:42 - ✅ Board 'Voltage Detector - Island' initialized successfully.
2024-09-07 19:15:23.527 | INFO     | managers.board_manager:initialize_all_boards:57 - ✅ ADS1115 board island_ad_converter initialized
